# Medieval and Renaissance
> Chant, polyphony, and early vocal music from Hildegard through Palestrina, Byrd, and the Renaissance madrigalists and motet composers.
Thomas Tallis | English Renaissance composer of Tudor sacred music, including the 40-voice motet Spem in Alium.
"La ci darem la mano" | Seductive duet between Don Giovanni and Zerlina from Mozart's Don Giovanni.
"When I am laid in earth" | Dido's grief-stricken lament closing Purcell's opera Dido and Aeneas.
Aida | Verdi's grand opera set in ancient Egypt, commissioned for the opening of the Cairo Opera House.
Charles-Francois Gounod | Full name of the French Romantic opera composer best known for Faust.
Das Rheingold | Opening opera of Wagner's Ring cycle, introducing the cursed gold and the gods of Valhalla.
Der Freischutz | Weber's opera featuring a demonic bullet-casting scene, a landmark of German Romantic opera.
Duke Bluebeard's Castle | Bartok's only opera, a symbolic psychological drama of Bluebeard's new wife opening seven forbidden doors.
Faust | Gounod's opera adaptation of Goethe's drama, centered on a scholar's pact with the devil Mephistopheles.
Lulu | Alban Berg's unfinished twelve-tone opera following a femme fatale's rise and destruction.
Orpheus | Common-link answerline spanning Monteverdi's L'Orfeo, Gluck's Orfeo ed Euridice, and Offenbach's Orpheus in the Underworld.
Otello | Verdi's late opera based on Shakespeare's Othello, marking a mature synthesis of drama and music.
Parsifal | Wagner's final music drama, a sacred stage-consecration festival play centered on the Holy Grail.
Pelleas et Melisande | Debussy's only completed opera, a hushed, symbolist setting of Maeterlinck's play.
the Queen of Spades | Tchaikovsky's opera based on Pushkin's tale of an obsessive gambler seeking a card-game secret.
William Tell | Rossini's final opera, its overture a concert-hall favorite depicting a storm and cavalry charge.
Amahl and the Night Visitors | Menotti's Christmas opera about a disabled boy visited by the Three Kings, written for television.
Der Rosenkavalier | Richard Strauss's comic opera of an aging noblewoman relinquishing her young lover.
Die Meistersinger von Nurnberg | Wagner's comic opera of a song contest among Nuremberg guild singers.
Franz von Suppe | Austrian operetta composer known for the lively overture to Light Cavalry.
Giulio Cesare in Egitto | Handel's opera seria depicting Julius Caesar's Egyptian campaign and romance with Cleopatra.
Grand opera | Lavish 19th-century French opera genre featuring spectacle and ballet, epitomized by Meyerbeer.
Iphigenie en Tauride | Gluck's reform opera simplifying opera seria conventions in a story of Greek myth and sacrifice.
Jake Heggie | Contemporary American opera composer known for Dead Man Walking, based on the memoir and film.
Orfeo ed Euridice | Gluck's reform opera simplifying earlier opera seria conventions in retelling the Orpheus myth.
Orpheus in the Underworld | Offenbach's satirical operetta retelling the Orpheus myth as comic spectacle, featuring the famous can-can.
Peter Grimes | Britten's opera of an outcast fisherman suspected in his apprentices' deaths, set in an English coastal town.
singspiel | German-language genre alternating spoken dialogue with song, as in Mozart's Abduction from the Seraglio and The Magic Flute.
Thais | Massenet's opera about a courtesan's religious conversion, famous for its orchestral "Meditation."
The Bartered Bride | Smetana's comic opera of a village girl's arranged marriage plot, a cornerstone of Czech national opera.
The Marriage of Figaro | Mozart's comic opera continuing Beaumarchais's Figaro story, satirizing aristocratic privilege.
The Tales of Hoffmann | Offenbach's opera dramatizing the fantastical loves of writer E.T.A. Hoffmann.
Tristan chord | Harmonically ambiguous chord opening Wagner's Tristan und Isolde, a landmark in the dissolution of tonality.
Turandot | Puccini's final, unfinished opera set in legendary China, home to the aria "Nessun dorma."
Vincenzo Bellini | Italian bel canto opera composer known for long, flowing melodic lines in works like Norma.
Wilhelm Richard Wagner | Full name of the German composer of music dramas including the Ring cycle and Tristan und Isolde.

# National Schools and Folk Traditions
> Composers who drew on folk material and national identity, from the Russian Mighty Five to Czech, Scandinavian, Iberian, English, and Latin American nationalists.
Bela Bartok | Hungarian composer and ethnomusicologist who folded collected folk melodies into modernist works like the Concerto for Orchestra.
Benjamin Britten | 20th-century English composer of Peter Grimes, the War Requiem, and The Young Person's Guide to the Orchestra; founded the Aldeburgh Festival.
Ralph Vaughan Williams | English composer who collected folk songs; wrote pastoral symphonies and Fantasia on a Theme by Thomas Tallis.
Jean Sibelius | Finnish nationalist composer of seven symphonies and the tone poem Finlandia; became a symbol of Finnish independence.
Pyotr Ilyich Tchaikovsky | Russian Romantic composer of the ballets Swan Lake and The Nutcracker, the 1812 Overture, and six symphonies.
Antonin Dvorak | Czech nationalist composer of the New World Symphony and Slavonic Dances, drawing on Czech and American folk idioms.
Gustav Holst | English composer best known for the orchestral suite The Planets; friend and contemporary of Vaughan Williams.
Edvard Grieg | Norwegian nationalist composer of the Piano Concerto in A minor and the Peer Gynt suites.
Leos Janacek | Czech nationalist composer known for speech-melody-influenced operas like Jenufa and the orchestral Sinfonietta.
Edward Elgar | English composer of the Enigma Variations, the Cello Concerto in E minor, and Pomp and Circumstance marches.
Nikolai Rimsky-Korsakov | Russian nationalist of the Mighty Five, composer of Scheherazade and the treatise on orchestration.
Bedrich Smetana | Czech nationalist composer of the symphonic cycle Ma vlast and the opera The Bartered Bride.
Heitor Villa-Lobos | Brazilian nationalist composer who blended Bach-like counterpoint with native idioms in the Bachianas Brasileiras.
Pictures at an Exhibition | Mussorgsky's piano suite depicting an art exhibit, most famous today in Ravel's orchestration.
Carl Nielsen | Danish nationalist symphonist known for six symphonies including the "Inextinguishable."
Zoltan Kodaly | Hungarian composer and educator who collected folk songs alongside Bartok and devised a music-teaching method.
Aram Khachaturian | Armenian Soviet composer known for the ballet Gayane, including its popular "Sabre Dance."
Scheherazade | Rimsky-Korsakov's orchestral suite depicting tales from the Arabian Nights, part of Russian musical Orientalism.
Alexander Borodin | Russian nationalist of the Mighty Five, also a chemist, known for the opera Prince Igor and its Polovtsian Dances.
Ma vlast | Smetana's cycle of six symphonic poems celebrating Czech landscape and legend, including "The Moldau."
Manuel de Falla | Spanish nationalist composer known for Nights in the Gardens of Spain and the ballet El amor brujo.
Modest Mussorgsky | Russian nationalist of the Mighty Five, composer of Pictures at an Exhibition and the opera Boris Godunov.
Antonin Leopold Dvorak | Full name of the Czech nationalist composer of the New World Symphony and Slavonic Dances.
William Walton | English 20th-century composer known for the oratorio Belshazzar's Feast and a Viola Concerto.
Concerto for Orchestra | Bela Bartok's late orchestral showpiece written in the United States, treating each section virtuosically.
Nikolai Andreyevich Rimsky-Korsakov | Full name of the Russian nationalist of the Mighty Five, composer of Scheherazade.
The Planets | Gustav Holst's orchestral suite depicting the astrological character of each planet, including "Mars, the Bringer of War."
Concierto de Aranjuez | Joaquin Rodrigo's guitar concerto, its slow movement among the most famous melodies in Spanish music.
Edvard Hagerup Grieg | Full name of the Norwegian nationalist composer of the Piano Concerto in A minor.
Enigma Variations | Elgar's orchestral variations portraying friends through musical "enigmas," including the famous "Nimrod."
Josef Suk | Czech composer and violinist, son-in-law of Dvorak, who continued the Czech Romantic-nationalist tradition.
Mikhail Glinka | Russian composer often called the father of Russian classical music, wrote the opera A Life for the Tsar.
Pablo de Sarasate | Spanish virtuoso violinist-composer known for Gypsy-flavored showpieces like Zigeunerweisen.
Percy Grainger | Australian-American composer who collected and arranged English folk songs like "Country Gardens."
Einojuhani Rautavaara | Finnish composer following Sibelius, known for mystical works like Cantus Arcticus incorporating birdsong.
Modest Petrovich Mussorgsky | Full name of the Russian nationalist of the Mighty Five, composer of Pictures at an Exhibition.
Samuel Coleridge-Taylor | English composer of African descent known for Hiawatha's Wedding Feast, blending Romantic style with African American idioms.
Slavonic Dances | Dvorak's orchestral dance suites inspired by Brahms's Hungarian Dances, drawing on Czech and Slavic folk idioms.
1812 Overture | Tchaikovsky's festival overture commemorating Russia's defense against Napoleon, ending with cannon fire and bells.
Bachianas Brasileiras | Villa-Lobos's suites blending Bach-like counterpoint with Brazilian folk melody and rhythm.
Bela Viktor Janos Bartok | Full name of the Hungarian composer-ethnomusicologist who collected folk melodies into modernist works.
Finlandia | Sibelius's patriotic tone poem that became an unofficial anthem of Finnish independence.
In the Steppes of Central Asia | Borodin's orchestral tone poem evoking a caravan crossing the Asian steppe under Russian escort.
Mikrokosmos | Bartok's six-volume progressive piano collection infusing pedagogical pieces with Hungarian folk idiom.
Pathetique Symphony | Nickname for Tchaikovsky's Symphony No. 6, his final work, premiered days before his death.
Peer Gynt | Grieg's incidental music and suites for Ibsen's play, including "Morning Mood" and "In the Hall of the Mountain King."
The Sleeping Beauty | Tchaikovsky's grand fairy-tale ballet, one of his three collaborations with choreographer Marius Petipa.
War Requiem | Britten's large-scale requiem interleaving the Latin mass with Wilfred Owen's World War I poetry.
"Greensleeves" | English folk tune arranged by Vaughan Williams as the Fantasia on Greensleeves.
Alberto Ginastera | Argentine nationalist composer known for ballets and works drawing on gaucho and folk idioms.
Alexander Glazunov | Russian late-Romantic composer bridging the Mighty Five's nationalism and the Rimsky-Korsakov teaching lineage.
Alexander Porfiryevich Borodin | Full name of the Russian nationalist of the Mighty Five, composer of Prince Igor.
Astor Piazzolla | Argentine composer who created "nuevo tango," fusing tango with jazz and classical elements.
Capriccio Espagnol | Rimsky-Korsakov's colorful orchestral showpiece evoking Spanish melodies and rhythms.
Florence Price | African American composer who wove spirituals and folk idiom into symphonic works, a first for a Black woman with a major orchestra.
Isaac Albeniz | Spanish nationalist composer known for the piano suite Iberia, evoking Spanish regional color.
Islamey | Balakirev's virtuosic "Oriental fantasy" for piano, inspired by Caucasian folk melodies.
Lincolnshire Posy | Percy Grainger's wind band suite based on English folk songs collected in Lincolnshire.
Manfred Symphony | Tchaikovsky's programmatic symphony inspired by Byron's poem of a guilt-ridden nobleman.
Mikhail Ivanovich Glinka | Full name of the composer often called the father of Russian classical music.
New World Symphony | Dvorak's Symphony No. 9, written in America and incorporating spiritual- and folk-inspired melodies.
Sinfonietta | Leos Janacek's brass-heavy orchestral work, originally composed for a gymnastics festival.
Sir Edward Elgar | Full title of the English composer of the Enigma Variations and Pomp and Circumstance marches.
The Dream of Gerontius | Elgar's oratorio setting Cardinal Newman's poem on a soul's journey after death.
The Nutcracker | Tchaikovsky's Christmas ballet featuring the Sugar Plum Fairy's celesta-accompanied dance.
"Mars, the Bringer of War" | Ominous, driving opening movement of Holst's orchestral suite The Planets.
A London Symphony | Vaughan Williams's Symphony No. 2, evoking the sounds and atmosphere of London.
Choros | Villa-Lobos's series of works blending Brazilian popular and folk idiom with orchestral or chamber forces.
Edward Elgar's Cello Concerto in E Minor | Elgar's elegiac late concerto, a cornerstone of the cello repertoire popularized by Jacqueline du Pre.
Lyric Pieces | Grieg's ten books of short, evocative piano character pieces.
The Swan of Tuonela | Sibelius's tone poem from the Lemminkainen Suite, depicting a swan on the river to the Finnish underworld.
The Young Person's Guide to the Orchestra | Britten's educational orchestral work introducing instrument families through a Purcell theme.
"In the Hall of the Mountain King" | Grieg's suspenseful, accelerating movement from his Peer Gynt incidental music.
"Neptune, the Mystic" | Ethereal final movement of Holst's The Planets, featuring an offstage wordless women's choir.
Belshazzar's Feast | William Walton's dramatic oratorio depicting the biblical king's downfall at a lavish banquet.
Bohuslav Martinu | Czech 20th-century composer blending neoclassical style with Czech folk-inflected melody.
Cello Concerto in E minor | Elgar's elegiac late concerto, a cornerstone of the cello repertoire popularized by Jacqueline du Pre.
Fantasia on a Theme by Thomas Tallis | Vaughan Williams's string work built on a 16th-century psalm tune by Thomas Tallis.
Fernando Sor | Spanish guitarist-composer sometimes called the "father of classical guitar" repertoire.
Gayane | Khachaturian's ballet, home to the propulsive "Sabre Dance."
Gerald Finzi | English pastoral composer known for gentle, lyrical settings of English poetry.
Gustav Theodore Holst | Full name of the English composer best known for the orchestral suite The Planets.
Harry Burleigh | African American composer-arranger of spirituals whose singing introduced Dvorak to that folk repertoire.
Iberia | Isaac Albeniz's piano suite evoking the regional color of Spain.
Jean Sibelius's Violin Concerto in D minor | Sibelius's only concerto, a technically demanding staple of the violin repertoire.
Mily Alexeyevich Balakirev | Full name of the Russian nationalist who led the Mighty Five.
Night on Bald Mountain | Mussorgsky's vivid orchestral tone poem depicting a witches' sabbath.
Pyotr Ilych Tchaikovsky | Spelling variant of the Russian Romantic composer of Swan Lake and The Nutcracker.
Sir William Turner Walton | Full name of the English 20th-century composer known for the oratorio Belshazzar's Feast.
St. Paul's Suite | Holst's suite for string orchestra written for the students of St. Paul's Girls' School.
Swan Lake | Tchaikovsky's ballet of a princess transformed into a swan by a sorcerer's curse.
symphonies by Jean Sibelius | Sibelius's cycle of seven symphonies, moving from Romantic lyricism to compressed, distilled late style.
The Planets, Op. 32 | Holst's orchestral suite depicting the astrological character of each planet.

# Impressionism and the Ballets Russes
> French tone-color innovators and the Russian-French ballet collaborations that reshaped early twentieth-century orchestral color and rhythm.
Maurice Ravel | French composer of Bolero and Daphnis et Chloe, a master orchestrator often paired with Debussy in musical Impressionism.
Claude Debussy | French Impressionist composer of Prelude to the Afternoon of a Faun and La Mer; pioneered whole-tone harmony and tone color.
Igor Stravinsky | Russian composer of The Rite of Spring, The Firebird, and Petrushka for Diaghilev's Ballets Russes.
Erik Satie | French eccentric composer of the piano Gymnopedies; precursor to Impressionism and ambient "furniture music."
Igor Fyodorovich Stravinsky | Full name of the Russian composer of The Rite of Spring, The Firebird, and Petrushka.
The Rite of Spring | Stravinsky's ballet for the Ballets Russes whose 1913 premiere caused a riot with its primitivist rhythms.
Bolero | Ravel's orchestral work built on a single repeating melody over an insistent snare-drum rhythm.
The Firebird | Stravinsky's breakthrough ballet for the Ballets Russes, based on Russian folk tales of a magical bird.
Joseph Maurice Ravel | Full name of the French composer of Bolero and Daphnis et Chloe.
La mer | Debussy's orchestral triptych evoking the sea's changing moods through shimmering tone color.
Petrushka | Stravinsky's ballet for the Ballets Russes about a puppet who comes to life at a Russian fair.
"Clair de lune" | Debussy's shimmering piano piece from the Suite bergamasque, inspired by a Verlaine poem.
Le tombeau de Couperin | Ravel's suite honoring Baroque forms and friends killed in World War I.
Paul Dukas | French composer best known for the orchestral scherzo The Sorcerer's Apprentice, popularized by Disney's Fantasia.
Symphony of Psalms | Stravinsky's Neoclassical choral symphony setting Latin psalm texts.
Claude-Achille Debussy | Full name of the French Impressionist composer of Prelude to the Afternoon of a Faun.
Daphnis et Chloe | Ravel's ballet for the Ballets Russes, based on an ancient Greek pastoral romance.
Paul Abraham Dukas | Full name of the French composer best known for The Sorcerer's Apprentice.
Prelude to the Afternoon of a Faun | Debussy's orchestral work inspired by a Mallarme poem, a landmark of musical Impressionism.
The Sorcerer's Apprentice | Dukas's orchestral scherzo depicting an apprentice's enchanted broom disaster, popularized by Fantasia.
Trois Gymnopedies | Erik Satie's three slow, spare piano pieces, precursors to musical Impressionism and ambient music.
Children's Corner | Debussy's piano suite written for his young daughter, including "Golliwogg's Cakewalk."
Erik Alfred Leslie Satie | Full name of the French eccentric composer of the piano Gymnopedies.
Pavane for a Dead Princess | Ravel's gently melancholic piano and orchestral work, despite its title not written for any actual death.
Stephane Mallarme | French Symbolist poet whose eclogue inspired Debussy's Prelude to the Afternoon of a Faun.
Vexations | Erik Satie's extremely repetitive piano piece, marked to be played 840 times in a row.

# Twentieth-Century Modernism
> Atonality, serialism, and experimentalism from the Second Viennese School through Ives, Bartok's mature works, and the postwar avant-garde.
Arnold Schoenberg | Austrian founder of the Second Viennese School; developed atonal expressionism and twelve-tone technique, taught Berg and Webern.
Charles Ives | American modernist known for polytonal, collage-like works like The Unanswered Question and Three Places in New England.
Dmitri Shostakovich | Soviet composer of 15 symphonies and string quartets, often read as coded commentary on Stalinist repression.
Olivier Messiaen | French modernist inspired by birdsong and Catholic mysticism; wrote the Quartet for the End of Time and Turangalila-Symphonie.
Paul Hindemith | German modernist composer and violist known for a Neoclassical style; wrote the opera Mathis der Maler.
John Cage | American experimental composer known for chance operation, the prepared piano, and the silent piece 4'33".
Samuel Barber | American composer known for the elegiac Adagio for Strings, originally the slow movement of a string quartet.
Sergei Prokofiev | Soviet composer of Peter and the Wolf, Romeo and Juliet, and the satirical Classical Symphony.
Gyorgy Ligeti | Hungarian-Austrian avant-garde composer known for dense tone clusters and micropolyphony, used in 2001: A Space Odyssey.
Alexander Scriabin | Russian composer moving from Romantic harmony toward mystic, synesthetic works like Prometheus and the Poem of Ecstasy.
Krzysztof Penderecki | Polish avant-garde composer known for dense tone-cluster works like Threnody to the Victims of Hiroshima.
Francis Poulenc | French composer in Les Six, known for witty Neoclassicism alongside serious sacred works like the Gloria.
Karlheinz Stockhausen | German avant-garde composer of electronic and serial music, a pioneer of musique concrete and spatial composition.
Alban Berg | Austrian Second Viennese School composer of the operas Wozzeck and Lulu and a Violin Concerto.
Carl Orff | German composer and educator best known for the cantata Carmina Burana.
Carmina Burana | Carl Orff's cantata setting medieval poems, opening with the famous "O Fortuna" chorus.
Les Six | Group of early-20th-century French composers, including Poulenc and Milhaud, reacting against Impressionism.
Anton Webern | Austrian Second Viennese School composer known for extremely concise, pointillistic twelve-tone works.
Romeo and Juliet | Common-link Shakespearean subject set as Prokofiev's ballet, Tchaikovsky's fantasy overture, and Berlioz's symphony.
Arthur Honegger | Swiss-French member of Les Six known for the locomotive-depicting orchestral work Pacific 231.
Darius Milhaud | French member of Les Six known for polytonal works influenced by jazz and Brazilian music.
Iannis Xenakis | Greek-French avant-garde composer and architect who applied mathematical models to works like Metastaseis.
Pierre Boulez | French composer-conductor and leading voice of postwar serialism, also a champion of new music as conductor.
Toru Takemitsu | Japanese avant-garde composer blending Western modernism with traditional Japanese instruments and aesthetics.
Bernard Herrmann | American film composer known for the shrieking strings of Psycho and scores for Vertigo and Citizen Kane.
Edgard Varese | French-American avant-garde composer of percussion-heavy works like Ionisation, a pioneer of electronic music.
Elliott Carter | American modernist composer known for rhythmic complexity and metric modulation in a long career of chamber works.
Quartet for the End of Time | Olivier Messiaen's chamber work composed and premiered while he was a prisoner of war.
Dmitri Dmitriyevich Shostakovich | Full name of the Soviet composer of 15 symphonies often read as coded commentary on Stalinist repression.
George Crumb | American avant-garde composer known for extended instrumental techniques, as in the string work Black Angels.
Germaine Tailleferre | French composer and the only woman among Les Six, active in Neoclassical Parisian circles.
Luciano Berio | Italian avant-garde composer known for the collage-technique orchestral work Sinfonia.
Pierrot Lunaire | Schoenberg's melodrama for reciter and chamber ensemble, pioneering the vocal technique Sprechstimme.
John Williams | American film composer known for the scores to Star Wars, Jaws, and Indiana Jones.
Sergei Sergeyevich Prokofiev | Full name of the Soviet composer of Peter and the Wolf and Romeo and Juliet.
Tan Dun | Chinese-American composer blending Eastern and Western idioms, known for the film score to Crouching Tiger, Hidden Dragon.
Transfigured Night | Schoenberg's early, still-tonal string sextet inspired by a Richard Dehmel poem of forgiveness.
twelve-tone technique | Compositional method treating all twelve chromatic pitches equally, devised by Schoenberg and used by Berg and Webern.
Alexander Nikolayevich Scriabin | Full name of the Russian composer who moved from Romantic harmony toward mystic, synesthetic works.
Charles Edward Ives | Full name of the American modernist known for polytonal, collage-like works like The Unanswered Question.
Ernest Bloch | Swiss-American composer known for Jewish-themed works like the cello rhapsody Schelomo.
Milton Babbitt | American composer known for rigorous total serialism and pioneering electronic music studio work.
musique concrete | Genre built from recorded and manipulated real-world sounds, pioneered by Pierre Schaeffer.
Peter and the Wolf | Prokofiev's narrated symphonic tale in which each character is represented by a different instrument.
Sprechstimme | Vocal technique between speech and song pioneered by Schoenberg in Pierrot Lunaire.
The Unanswered Question | Charles Ives's polytonal work layering a solo trumpet's repeated question over quiet string chords.
Turangalila-Symphonie | Messiaen's massive orchestral work on themes of love, joy, and time, featuring the ondes Martenot.
2001: A Space Odyssey | Kubrick film whose soundtrack famously uses Strauss's Also sprach Zarathustra and Ligeti's tone clusters.
Alfred Schnittke | Russian composer known for "polystylism," freely mixing tonal and atonal idioms and historical styles.
Concord Sonata | Ives's piano sonata paying tribute to the Concord, Massachusetts transcendentalists Emerson, Hawthorne, and Thoreau.
Conlon Nancarrow | American-Mexican composer known for rhythmically impossible studies written for player piano.
Ennio Morricone | Italian film composer famous for spaghetti western scores, including for The Good, the Bad and the Ugly.
Erich Wolfgang Korngold | Austrian-American composer who brought late-Romantic style to classic Hollywood film scores.
Leningrad | City besieged in World War II, the inspiration for Shostakovich's defiant Symphony No. 7.
Peter Maxwell Davies | British avant-garde composer who later served as Master of the Queen's Music.
serialism | Compositional technique organizing pitch, and sometimes other parameters, into fixed ordered series.
Symphony No. 4 | Charles Ives's dense, polytonal symphony layering multiple simultaneous musical ideas.
tone clusters | Dense simultaneous groupings of adjacent pitches, used by Ligeti, Cowell, and Penderecki.
Wendy Carlos | American composer known for the synthesizer album Switched-On Bach, popularizing electronic classical music.
4'33" | John Cage's conceptual work consisting entirely of silence, foregrounding ambient sound.
Adagio for Strings | Samuel Barber's elegiac orchestral work, originally the slow movement of a string quartet.
Central Park in the Dark | Charles Ives's atmospheric orchestral work layering quiet strings against sudden ragtime intrusions.
Cinderella | Prokofiev's ballet retelling the fairy tale of a mistreated stepdaughter and a magical transformation.
David Tudor | American pianist closely associated with John Cage, premiering many of his experimental works.
Gertrude Stein | American modernist writer who wrote the libretto for Virgil Thomson's opera Four Saints in Three Acts.
Hans Werner Henze | German postwar composer known for a wide-ranging, politically engaged operatic and orchestral output.
Henri Dutilleux | French 20th-century composer known for refined orchestral color and slow-evolving forms.
Henry Cowell | American experimental composer who pioneered tone clusters and playing directly on piano strings.
Hiroshima | Subject of Penderecki's dense orchestral memorial work, Threnody to the Victims of Hiroshima.
Ionisation | Edgard Varese's pioneering work scored entirely for percussion instruments and sirens.
John Milton Cage, Jr. | Full name of the American experimental composer known for chance operation and the prepared piano.
Karol Szymanowski | Polish modernist composer known for richly chromatic, exoticist orchestral and vocal works.
neoclassical | Early 20th-century style returning to Classical-era clarity and form, associated with Stravinsky.
Nikolai Myaskovsky | Prolific Soviet symphonist sometimes called the "father of the Soviet symphony."
Pauline Oliveros | American experimental composer known for accordion improvisation and the practice of "deep listening."
Second Viennese School | Circle of Schoenberg, Berg, and Webern who developed atonality and twelve-tone technique in early 20th-century Vienna.
St. Luke Passion | Penderecki's avant-garde setting of the Passion narrative, blending tone clusters with sacred tradition.
string quartets by Dmitri Shostakovich | Shostakovich's cycle of 15 string quartets, often intensely personal in tone.
Three Places in New England | Charles Ives's orchestral triptych layering Americana quotations in a dense, polytonal style.
Threnody to the Victims of Hiroshima | Penderecki's dense string work of extended techniques memorializing the atomic bombing.
William Schuman | American composer and the first winner of the Pulitzer Prize for Music.
Witold Lutoslawski | Polish avant-garde composer known for controlled aleatory technique and richly colored orchestration.

# Minimalism and Contemporary Classical
> Repetitive structures and living composers, from Reich and Glass's minimalism to present-day concert-hall composers.
Philip Glass | American minimalist composer of Einstein on the Beach and Akhnaten, built on repetitive, additive rhythmic structures.
minimalism | Late-20th-century movement built on repetitive, slowly shifting patterns, pioneered by Reich, Glass, and Riley.
Steve Reich | American minimalist composer of Music for 18 Musicians and Different Trains, known for phasing techniques.
Arvo Part | Estonian composer of the "holy minimalist" style called tintinnabuli, as in Spiegel im Spiegel.
John Adams | American composer of the operas Nixon in China and Doctor Atomic, working in a post-minimalist style.
John Coolidge Adams | Full name of the American composer of Nixon in China, working in a post-minimalist style.
Terry Riley | American minimalist composer whose In C helped launch the minimalist movement through open, repeating modules.
Max Richter | Contemporary post-minimalist composer known for reworking Vivaldi's Four Seasons and ambient-classical crossovers.
Symphony of Sorrowful Songs | Henryk Gorecki's Symphony No. 3, a slow, meditative "holy minimalist" work that became a surprise bestseller.
Einstein on the Beach | Philip Glass's plotless, hours-long opera built on repetitive structures, created with director Robert Wilson.
Kaija Saariaho | Finnish contemporary composer known for spectral, atmospheric orchestral and operatic works.
La Monte Young | American composer and early minimalist pioneer known for sustained drones and durational works.
Different Trains | Steve Reich's work for string quartet and tape juxtaposing childhood train trips with Holocaust-era transports.
Akhnaten | Philip Glass's minimalist opera on the heretical Egyptian pharaoh who imposed monotheism.
ambient music | Atmospheric, texture-focused genre related to minimalism, pioneered by Brian Eno.
In C | Terry Riley's landmark work built from short repeating modules played in loose synchrony, launching minimalism.
Jennifer Higdon | Contemporary American composer awarded the Pulitzer Prize for her Violin Concerto.
Kronos Quartet | Contemporary American string quartet devoted to commissioning and performing new music.
Sofia Gubaidulina | Russian-Tatar composer known for spiritually charged, avant-garde contemporary works.
Thomas Ades | Contemporary British composer known for works including the opera The Exterminating Angel.
9/11 | Subject of contemporary memorial works, including John Adams's On the Transmigration of Souls.
Bang on a Can | American new-music collective and festival promoting contemporary and minimalist-influenced composers.
Ellen Taaffe Zwilich | American composer and the first woman to win the Pulitzer Prize for Music.
Esa-Pekka Salonen | Finnish contemporary composer-conductor known for leading major American orchestras and his own orchestral works.
Henryk Gorecki | Polish composer whose "holy minimalist" Symphony No. 3 became a surprise bestseller.
Henryk Mikolaj Gorecki | Full name of the Polish composer of the "holy minimalist" Symphony No. 3.
Joan Tower | American contemporary composer known for the fanfare series Fanfare for the Uncommon Woman.
John Corigliano | Contemporary American composer known for the AIDS-themed Symphony No. 1.
Julia Wolfe | American composer and Bang on a Can co-founder, awarded the Pulitzer Prize for Music.
Music for 18 Musicians | Steve Reich's landmark minimalist work for a mixed ensemble built on pulsing, interlocking rhythms.
Nixon in China | John Adams's opera dramatizing Richard Nixon's historic 1972 visit to China.
Osvaldo Golijov | Contemporary Argentine-American composer known for the multicultural choral-orchestral work La Pasion segun San Marcos.
phasing | Steve Reich's compositional technique of gradually shifting identical repeating patterns out of sync.
Spiegel im Spiegel | Arvo Part's spare, meditative piece in his "holy minimalist" tintinnabuli style.
Unsuk Chin | Contemporary South Korean composer known for vividly colored, virtuosic orchestral works.

# Jazz and American Vernacular Music
> Ragtime, blues, and jazz from Armstrong and Ellington through bebop, cool jazz, and fusion, alongside American musical theater and popular song.
Leonard Bernstein | American conductor-composer of the musical West Side Story; longtime New York Philharmonic director and Young People's Concerts host.
Aaron Copland | American composer of the ballets Appalachian Spring and Rodeo, blending folk idioms into an accessible "Americana" style.
Miles Davis | American jazz trumpeter and bandleader central to cool jazz and fusion; led the sessions for Kind of Blue.
George Gershwin | American composer who fused jazz idioms with concert music in Rhapsody in Blue and the opera Porgy and Bess.
Duke Ellington | American jazz bandleader-composer and pianist celebrated for orchestral big-band works like Mood Indigo.
Scott Joplin | American ragtime composer-pianist known for "Maple Leaf Rag" and the opera Treemonisha.
John Coltrane | American jazz saxophonist known for A Love Supreme and modal and free jazz innovations.
Louis Armstrong | American jazz trumpeter and singer, a foundational figure of New Orleans jazz known for "West End Blues."
Charles Mingus | American jazz bassist-composer-bandleader known for blending bebop, gospel, and classical elements.
John Philip Sousa | American "March King" who led the U.S. Marine Band and wrote "The Stars and Stripes Forever."
Charlie Parker | American alto saxophonist and pioneer of bebop, known by the nickname "Bird."
Dizzy Gillespie | American jazz trumpeter and bebop pioneer known for his bent-bell trumpet and Afro-Cuban jazz fusions.
Herbie Hancock | American jazz pianist who moved from Miles Davis's quintet into jazz fusion and funk.
Rhapsody in Blue | George Gershwin's jazz-influenced concert work for piano and orchestra, opening with a famous clarinet glissando.
Dave Brubeck | American jazz pianist known for the unusual time signatures of "Take Five" and the album Time Out.
Ornette Coleman | American saxophonist and pioneer of free jazz, known for the album The Shape of Jazz to Come.
ragtime | Syncopated American piano genre popularized by Scott Joplin, a direct precursor to jazz.
Thelonious Monk | American jazz pianist-composer known for angular melodies and dissonant harmony, as in "'Round Midnight."
Kind of Blue | Miles Davis's landmark modal jazz album, one of the best-selling jazz records ever made.
Wayne Shorter | American saxophonist-composer who played with Miles Davis and co-founded the fusion group Weather Report.
A Love Supreme | John Coltrane's spiritually themed suite, widely regarded as a landmark of modal and spiritual jazz.
Alice Coltrane | American jazz harpist and pianist, John Coltrane's wife, known for spiritually inflected modal jazz.
Benny Goodman | American clarinetist and bandleader known as the "King of Swing" during the big-band era.
Billie Holiday | American jazz vocalist known for her expressive phrasing and the protest song "Strange Fruit."
cool jazz | Relaxed, understated jazz style of the 1950s associated with Miles Davis and the West Coast scene.
