# Old English & Anglo-Saxon Literature
> Alliterative verse and prose in the earliest form of English, running from Caedmon through the Norman Conquest of 1066.
Beowulf | Anonymous Old English epic of a Geatish hero who slays Grendel, Grendel's mother, and a dragon.
William Wordsworth | Lake Poet who launched Romanticism with Coleridge; The Prelude, "Tintern Abbey," "I Wandered Lonely as a Cloud."
Lord Byron | Romantic poet of scandalous fame; Don Juan, Childe Harold's Pilgrimage; died aiding Greek independence.
Jane Austen | Novelist of manners in the Regency era; Pride and Prejudice, Emma, Sense and Sensibility, Persuasion.
Robert Burns | Scotland's national poet, writing largely in Scots dialect; "Auld Lang Syne," "Tam o' Shanter."
Sir Walter Scott | Scottish Romantic novelist who invented the historical novel; Ivanhoe, Rob Roy, Waverley.
Thomas Gray | Graveyard-school poet and precursor to Romanticism; "Elegy Written in a Country Churchyard."
Emma | Jane Austen novel of the meddling matchmaker Emma Woodhouse, who misreads the romantic lives of Highbury's residents.
Thomas De Quincey | Romantic-era essayist known for Confessions of an English Opium-Eater.
Don Juan | Byron's unfinished mock-epic satirizing European society through its rakish (if passive) hero's adventures.
Mansfield Park | Jane Austen novel of quiet, principled Fanny Price raised among her wealthy Bertram relations.
William Hazlitt | Romantic-era essayist and critic; Characters of Shakespeare's Plays, known for vigorous prose style.
"Elegy Written In A Country Churchyard" | Thomas Gray's meditation on mortality and obscure rural lives, source of "the paths of glory lead but to the grave."
Frankenstein | Mary Shelley's novel of scientist Victor Frankenstein and the nameless creature he assembles and abandons.
Northanger Abbey | Jane Austen's novel parodying Gothic fiction through impressionable heroine Catherine Morland.
Sense and Sensibility | Jane Austen's debut novel contrasting practical Elinor and passionate Marianne Dashwood.
Pride and Prejudice | Jane Austen's novel of Elizabeth Bennet's evolving relationship with the proud Mr. Darcy.
Robert Southey | Lake Poet and Poet Laureate alongside Wordsworth and Coleridge; wrote "The Story of the Three Bears."
"Kubla Khan" | Coleridge's opium-inspired, unfinished vision of Xanadu and its "stately pleasure-dome."
Charles Lamb | Romantic-era essayist; Essays of Elia, and co-author with sister Mary of Tales from Shakespeare.
Emma Woodhouse | Meddling, well-meaning heroine of Jane Austen's Emma who misjudges the romances around her.
Frankenstein; Or, The Modern Prometheus | Full title of Mary Shelley's novel of scientist Victor Frankenstein and his abandoned creature.
George Gordon, Lord Byron | Full name and title of Romantic poet Lord Byron.
Mary Shelley | Romantic-era novelist; Frankenstein, written partly in a ghost-story contest with Byron and Percy Shelley.
Persuasion | Jane Austen's final completed novel, reuniting Anne Elliot with her former suitor Captain Wentworth.
"Ode: Intimations of Immortality from Recollections of Early Childhood" | Wordsworth's ode on childhood's visionary "clouds of glory" fading into ordinary adult perception.
"To a Skylark" | Percy Bysshe Shelley's ode addressing the bird as a "blithe spirit" of unearthly joyful song.
"To Autumn" | John Keats's ode celebrating the "season of mists and mellow fruitfulness."
Ann Radcliffe | Pioneering Gothic novelist; The Mysteries of Udolpho, known for explained supernatural terror.
Ivanhoe | Walter Scott's historical novel of Saxon knight Wilfred of Ivanhoe amid Norman-Saxon tension under Richard the Lionheart.
The Monk | Matthew Lewis's lurid Gothic novel of a monk's corruption through lust and a demonic pact.
Thomas Love Peacock | Romantic-era satirical novelist; Nightmare Abbey, poking fun at Gothic excess and his poet friends.
Walter Scott | Scottish Romantic novelist who invented the historical novel; Ivanhoe, Rob Roy, Waverley.
"Frost at Midnight" | Coleridge's conversation poem addressing his infant son while watching frost form outside at night.
"Ode on a Grecian Urn" | Keats's ode meditating on a frozen artwork, concluding "Beauty is truth, truth beauty."
"Ode to a Nightingale" | Keats's ode contrasting the bird's timeless song with human suffering and mortality.
"Ode to the West Wind" | Shelley's ode invoking the wind as a force of revolutionary renewal, asking "if Winter comes, can Spring be far behind?"
"Tam o' Shanter" = "Tam O'Shanter" | Robert Burns's Scots-dialect narrative poem of a drunk farmer chased by witches after spying their revel.
"The Rime of the Ancient Mariner" = The Rime of the Ancient Mariner | Coleridge's narrative poem of a sailor's supernatural punishment for killing an albatross.
Jerusalem = "Jerusalem" | City invoked in William Blake's poem envisioning a New Jerusalem built in "England's green and pleasant Land."
Maria Edgeworth | Anglo-Irish novelist; Castle Rackrent, an early regional and historical novel narrated by a family servant.
Nightmare Abbey | Thomas Love Peacock's satirical novel mocking Gothic fiction and his Romantic poet contemporaries.
Tales of My Landlord | Series title under which Walter Scott published several of his Waverley novels.
The Castle of Otranto | Horace Walpole's 1764 novel, generally credited as the first Gothic novel.
The Mysteries of Udolpho | Ann Radcliffe's Gothic novel of orphaned Emily St. Aubert's terrors in a sinister Italian castle.
The Prelude | Wordsworth's autobiographical epic on "the growth of a poet's mind," published posthumously.
William Cowper | Pre-Romantic poet and hymn writer; The Task, known for gentle, personal verse on nature and faith.
"Christabel" | Coleridge's unfinished narrative poem of a young woman entranced by the sinister, possibly supernatural Geraldine.
"Ode on Melancholy" | Keats's ode arguing that true melancholy is inseparable from beauty and joy's fleeting nature.
"Ode to Psyche" | Keats's ode addressing the neglected goddess Psyche and vowing to become her priest.
"The Eve of St. Agnes" | Keats's narrative poem of lovers Madeline and Porphyro uniting on a night of medieval superstition.
"The Solitary Reaper" | Wordsworth's poem on a Highland girl's haunting song, heard but not understood by the passing poet.
"The Tyger" | William Blake's Songs of Experience poem asking what immortal hand or eye could frame the tiger's fearsome symmetry.
conversation poems | Term for Coleridge's intimate, meditative blank-verse poems addressed to a silent listener, such as "Frost at Midnight."
Fanny Price | Quiet, morally steadfast heroine of Jane Austen's Mansfield Park.
Frankenstein's monster | Nameless, articulate creature assembled and abandoned by the scientist in Mary Shelley's Frankenstein.
Harriet Smith | Emma Woodhouse's naive protegee in Austen's Emma, whose romantic prospects Emma repeatedly misjudges.
Horace Walpole | Author of The Castle of Otranto, generally credited as the first Gothic novel.
James Hogg | Scottish Romantic-era writer; The Private Memoirs and Confessions of a Justified Sinner.
John Clare | Romantic-era "peasant poet" celebrated for close observation of the English countryside.
Leigh Hunt | Romantic-era poet and essayist, friend and champion of Keats and Shelley.
Lucy Poems | Wordsworth's short elegiac poem sequence mourning an unidentified young woman named Lucy.
Prometheus Unbound | Percy Bysshe Shelley's lyrical drama reimagining the Titan's liberation as a myth of revolutionary hope.
Rob Roy | Walter Scott's historical novel romanticizing the Scottish outlaw Rob Roy MacGregor.
The Person from Porlock | Unwelcome visitor blamed by Coleridge for interrupting his composition of "Kubla Khan."
The Revolt of Islam | Percy Bysshe Shelley's long allegorical poem of revolution and idealistic reform.
Thomas Chatterton | Pre-Romantic "marvellous boy" poet who forged medieval verse and died by suicide at seventeen.
Vathek | William Beckford's Gothic Orientalist novel of a caliph's descent into damnation through forbidden knowledge.
Wordsworth | Surname of Lake Poet William Wordsworth, who launched Romanticism with Coleridge.
"A Defence of Poetry" | Percy Bysshe Shelley's essay declaring poets "the unacknowledged legislators of the world."
"Auld Lang Syne" | Robert Burns's Scots-dialect poem of remembrance, traditionally sung to mark the New Year.
"I Am" | John Clare's poem of self-erasure and isolation, written during his confinement in an asylum.
"I Wandered Lonely as a Cloud" | Wordsworth's poem recalling a field of daffodils that later returns to comfort him in solitude.
"La Belle Dame Sans Merci" | Keats's ballad of a knight seduced and abandoned by a supernatural, merciless lady.
"Ozymandias" | Shelley's sonnet on a shattered desert statue of a once-mighty king, mocking the futility of tyrannical pride.
"Resolution and Independence" | Wordsworth's poem in which an old leech-gatherer's stoic endurance steadies the poet's despair.
"The English Mail Coach" | Thomas De Quincey's essay evoking the speed and sublime terror of nighttime mail-coach travel.
"The World is Too Much With Us" | Wordsworth's sonnet lamenting that "getting and spending" has estranged humanity from nature.
"Tintern Abbey" = Tintern Abbey | Wordsworth's poem reflecting on memory and nature while revisiting a ruined abbey on the River Wye.
a mouse | Small creature addressed in Robert Burns's poem "To a Mouse," source of "the best-laid schemes."
Anne Elliot | Austen's Persuasion heroine, reunited with her former suitor Captain Wentworth after years of regret.
Castle Rackrent | Maria Edgeworth's novel narrated by a family servant, an early regional and historical novel.
Catherine Morland | Impressionable heroine of Austen's Northanger Abbey, whose Gothic-novel fantasies are gently mocked.
Childe Harold's Pilgrimage | Byron's narrative poem following a disillusioned wanderer through Europe, popularizing the "Byronic hero."
Desdichado | Alias meaning "the Disinherited," used by the title character while incognito in Scott's Ivanhoe.
Dorothy Wordsworth | Poet and diarist, sister of William Wordsworth, whose journals influenced and recorded his poetry.
Endymion | Keats's long mythological poem opening "A thing of beauty is a joy for ever," on a shepherd loved by the moon goddess.
Felicia Dorothea Hemans | Full name of popular Romantic-era poet Felicia Hemans, known for "Casabianca" ("The boy stood on the burning deck").
Felicia Hemans | Popular Romantic-era poet known for "Casabianca" ("The boy stood on the burning deck").
Hartley Coleridge | Minor Romantic-era poet, elder son of Samuel Taylor Coleridge.
John Keats's sonnets | Fourteen-line poems by the Romantic poet, including "On First Looking into Chapman's Homer."
John William Polidori | Byron's physician, author of "The Vampyre," an early and influential English vampire tale.
Lyrical Ballads | Wordsworth and Coleridge's 1798 collection, generally regarded as launching English Romanticism.
Marianne Dashwood | Passionate, impulsive heroine of Austen's Sense and Sensibility, contrasted with practical sister Elinor.
negative capability | Keats's concept, from his letters, of the capacity to remain in uncertainty without irritable reaching after fact.
Sanditon | Jane Austen's unfinished final novel, satirizing a seaside resort's speculative development.
sonnets by John Keats | Fourteen-line poems by the Romantic poet, including "On First Looking into Chapman's Homer."
Thomas Penson de Quincey | Full name of Romantic-era essayist Thomas De Quincey, author of Confessions of an English Opium-Eater.
Walter Savage Landor | Romantic-era poet and prose writer; Imaginary Conversations, a series of dialogues between historical figures.
Waverley; or, 'Tis Sixty Years Since | Full title of Walter Scott's novel that launched the historical-novel genre and his Waverley series.

# Victorian Literature
> The novel's golden age and the poetry of an industrializing empire, spanning Dickens and the Brontes to the fin de siecle.
Thomas Hardy | Victorian novelist and poet of Wessex; Tess of the d'Urbervilles, Jude the Obscure, and Far from the Madding Crowd.
Gerard Manley Hopkins | Victorian Jesuit poet who invented sprung rhythm; "The Windhover," "Pied Beauty," "The Wreck of the Deutschland."
Charles Dickens | Victorian novelist of serialized social fiction; Great Expectations, Bleak House, Oliver Twist, A Tale of Two Cities.
Oscar Wilde | Irish wit of Aestheticism and Decadence; The Picture of Dorian Gray, The Importance of Being Earnest; imprisoned for "gross indecency."
Alfred, Lord Tennyson | Victorian Poet Laureate; In Memoriam A.H.H., "The Charge of the Light Brigade," "The Lady of Shalott."
George Eliot | Pen name of Mary Ann Evans, Victorian realist novelist; Middlemarch, The Mill on the Floss, Silas Marner.
Jane Eyre | Charlotte Bronte's novel of an orphaned governess who marries the Byronic Mr. Rochester despite his hidden mad wife.
Robert Browning | Victorian master of the dramatic monologue; "My Last Duchess," "Porphyria's Lover"; married Elizabeth Barrett Browning.
Matthew Arnold | Victorian poet-critic; "Dover Beach," "The Scholar-Gipsy"; championed "culture" in Culture and Anarchy.
Rudyard Kipling | Anglo-Indian writer of empire; The Jungle Book, Kim, "If—," "Gunga Din"; youngest Nobel literature laureate.
Elizabeth Barrett Browning | Victorian poet; Sonnets from the Portuguese ("How do I love thee?"), Aurora Leigh; married Robert Browning.
Robert Louis Stevenson | Scottish Victorian novelist; The Strange Case of Dr. Jekyll and Mr. Hyde, Treasure Island, Kidnapped.
Anthony Trollope | Victorian novelist of the Barsetshire and Palliser series; The Warden, Barchester Towers.
Vanity Fair | Thackeray's "novel without a hero" satirizing social climbing through the schemer Becky Sharp.
William Makepeace Thackeray | Victorian novelist and satirist; Vanity Fair, narrated by an intrusive authorial "Manager of the Performance."
A Shropshire Lad | A. E. Housman's 1896 poetry collection of terse, melancholy lyrics on youth, death, and rural England.
Algernon Charles Swinburne | Victorian poet of Decadent, transgressive lyricism and classical meters; associated with the Pre-Raphaelites.
Sherlock Holmes | Arthur Conan Doyle's deductive detective of Baker Street, aided by Dr. Watson and foiled by Professor Moriarty.
Sonnets from the Portuguese | Elizabeth Barrett Browning's love-sonnet sequence for Robert Browning, including "How do I love thee?"
"Goblin Market" = Goblin Market | Christina Rossetti's Pre-Raphaelite narrative poem of sisters Laura and Lizzie tempted by goblin merchants' fruit.
Middlemarch | George Eliot's panoramic novel of provincial life, centered on idealistic Dorothea Brooke and doctor Lydgate.
"Dover Beach" | Matthew Arnold's poem lamenting faith's "melancholy, long, withdrawing roar" as heard from a Dover shoreline.
A. E. Housman = A.E. Housman | Victorian/Georgian classical scholar-poet; A Shropshire Lad, terse lyrics on mortality and lost youth.
Bleak House | Dickens novel satirizing the interminable Chancery lawsuit Jarndyce and Jarndyce; narrated partly by Esther Summerson.
Charlotte Bronte | Victorian novelist; Jane Eyre and Villette, elder of the literary Bronte sisters.
Christina Rossetti | Pre-Raphaelite-adjacent poet; "Goblin Market," devotional and love lyrics; sister of Dante Gabriel Rossetti.
Elizabeth Gaskell | Victorian "Condition of England" novelist; North and South, Mary Barton, biographer of Charlotte Bronte.
Great Expectations | Dickens novel of orphan Pip, the escaped convict Magwitch, and the jilted Miss Havisham.
Lewis Carroll | Pen name of Charles Dodgson; Alice's Adventures in Wonderland and Through the Looking-Glass.
The Moonstone | Wilkie Collins's early detective novel about a stolen Indian diamond, often called the first English detective novel.
Arthur Conan Doyle | Victorian creator of Sherlock Holmes; also wrote historical fiction and The Lost World.
Dante Gabriel Rossetti | Pre-Raphaelite Brotherhood founder, poet-painter; brother of Christina Rossetti.
Lady Windermere's Fan | Oscar Wilde's comedy of manners involving a fan, a scandal, and a mysterious Mrs. Erlynne.
Dorothea Brooke | Idealistic heroine of George Eliot's Middlemarch, unhappily married to the pedantic scholar Casaubon.
Emily Bronte | Victorian novelist of Wuthering Heights, her only novel; also wrote poetry; sister of Charlotte and Anne.
Far From the Madding Crowd | Thomas Hardy's Wessex novel of farmer Bathsheba Everdene and her three suitors, including shepherd Gabriel Oak.
Heathcliff | Byronic, vengeful foundling of Emily Bronte's Wuthering Heights, obsessed with Catherine Earnshaw.
North and South | Elizabeth Gaskell's "Condition of England" novel contrasting industrial North and genteel South through Margaret Hale.
The Importance of Being Earnest | Oscar Wilde's farce of mistaken identities built on two men's fictitious "Ernest" personas.
Wilkie Collins | Victorian sensation novelist; The Moonstone and The Woman in White; friend of Dickens.
Wuthering Heights | Emily Bronte's novel of the destructive passion between Heathcliff and Catherine Earnshaw on the Yorkshire moors.
A Tale of Two Cities | Dickens's novel set during the French Revolution, ending with Sydney Carton's self-sacrifice.
David Copperfield | Dickens's semi-autobiographical novel following its orphaned narrator from childhood hardship to authorship.
The Picture of Dorian Gray | Oscar Wilde's novel in which a portrait ages and bears the moral corruption of its eternally youthful subject.
"Jabberwocky" | Lewis Carroll's nonsense poem from Through the Looking-Glass, featuring the "vorpal sword" and "Tumtum tree."
"The Blessed Damozel" | Dante Gabriel Rossetti's Pre-Raphaelite poem of a dead woman watching for her lover from heaven.
Alfred Edward Housman | Full name of poet A. E. Housman, author of A Shropshire Lad.
Anne Bronte | Youngest Bronte sister and novelist; Agnes Grey, The Tenant of Wildfell Hall.
Aurora Leigh | Elizabeth Barrett Browning's verse novel about a woman poet's artistic and romantic development.
Becky Sharp | Ambitious, amoral social climber at the center of Thackeray's Vanity Fair.
Hard Times | Dickens's novel satirizing utilitarian education and industrial Coketown through Thomas Gradgrind.
Jude the Obscure | Thomas Hardy's bleak final novel of stonemason Jude Fawley's thwarted ambitions and doomed love for Sue Bridehead.
Rossetti | Surname shared by Pre-Raphaelite poet-painter Dante Gabriel Rossetti and his poet sister Christina.
Thomas Carlyle | Victorian essayist and historian; Sartor Resartus and On Heroes, Hero-Worship, and the Heroic in History.
"The Darkling Thrush" | Thomas Hardy's turn-of-the-century poem in which a thrush's song offers fragile hope amid bleak winter landscape.
"The Lady of Shalott" | Tennyson's poem of a cursed weaver who dies after leaving her tower to look directly at Sir Lancelot.
"The Wreck of the Deutschland" | Gerard Manley Hopkins's sprung-rhythm elegy for nuns drowned in a shipwreck.
"Thyrsis" | Matthew Arnold's pastoral elegy mourning his friend and fellow poet Arthur Hugh Clough.
De Profundis | Oscar Wilde's long prose letter written in prison, reflecting on his downfall and relationship with Lord Alfred Douglas.
Edward Bulwer-Lytton | Victorian novelist and playwright; Pelham, opened a novel with "It was a dark and stormy night."
Middlemarch, A Study of Provincial Life = Middlemarch: A Study of Provincial Life | Full title of George Eliot's panoramic novel of provincial English life.
Our Mutual Friend | Dickens's late novel of inheritance, disguise, and the Thames, involving the "dust heaps" fortune of the Harmon family.
Reading Gaol | Prison where Oscar Wilde was incarcerated, subject of his poem "The Ballad of Reading Gaol."
Silas Marner | George Eliot's novel of an embittered weaver redeemed by raising an abandoned child, Eppie.
The Return of the Native | Thomas Hardy's Wessex novel set on Egdon Heath, centered on Eustacia Vye's thwarted longing for escape.
The Strange Case of Dr. Jekyll and Mr. Hyde | Robert Louis Stevenson's novella of a respectable doctor's potion-induced transformation into a violent alter ego.
Villette | Charlotte Bronte's novel of a reserved Englishwoman teaching at a girls' school in a fictional Belgian city.
"If-" | Rudyard Kipling's advice poem to his son on stoic resilience, ending "you'll be a Man, my son!"
"The Convergence of the Twain" | Thomas Hardy's poem on the Titanic disaster, framing iceberg and ship as fated for each other.
"The Lotos-Eaters" | Tennyson's poem, based on the Odyssey episode, of sailors lulled into languid forgetfulness by a magical fruit.
"The Windhover" | Gerard Manley Hopkins's sonnet praising a kestrel's flight as a sprung-rhythm image of Christ.
Adam Bede | George Eliot's debut novel of a carpenter's love and a seduction plot in rural England.
Bronte | Surname of the Victorian literary sisters Charlotte, Emily, and Anne.
Dracula | Bram Stoker's epistolary Gothic novel of the vampiric Count Dracula's threat to Victorian England.
George Meredith | Victorian novelist and poet; The Egoist, and the sonnet sequence Modern Love on a failing marriage.
Kidnapped | Robert Louis Stevenson's adventure novel of young David Balfour's abduction and alliance with Jacobite Alan Breck.
Modern Love | George Meredith's sonnet sequence charting the disintegration of a marriage.
Oscar Fingal O'Flahertie Wills Wilde | Full name of Aestheticist wit and playwright Oscar Wilde.
Salome | Oscar Wilde's play (first written in French) dramatizing the biblical princess's demand for John the Baptist's head.
Silas Marner: the Weaver of Raveloe | Full title of George Eliot's novel of an embittered weaver redeemed by an adopted child.
Tess of the D'Urbervilles: A Pure Woman Faithfully Presented | Full title of Thomas Hardy's novel of a wronged milkmaid destroyed by Victorian sexual morality.
The Mayor of Casterbridge | Thomas Hardy's novel of Michael Henchard, who sells his wife in youth and is later ruined by the past resurfacing.
Vanity Fair: A Novel without a Hero | Full subtitle of Thackeray's novel satirizing social climbing through the schemer Becky Sharp.
"Pied Beauty" | Gerard Manley Hopkins's sonnet praising God for all things "counter, original, spare, strange."
"The Decay of Lying" | Oscar Wilde's dialogue-essay arguing that art should not imitate life but that "life imitates art."
"The Monkey's Paw" | W. W. Jacobs's horror story in which a cursed talisman grants wishes with terrible unintended consequences.
"The Scholar-Gipsy" | Matthew Arnold's poem on an Oxford student who abandons society to wander with gypsies in pursuit of secret knowledge.
Arthur Henry Hallam | Tennyson's close friend, whose early death inspired the elegy In Memoriam A.H.H.
Benjamin Disraeli | Victorian prime minister and novelist; Sybil, or The Two Nations, on class division in industrial England.
Bertha Mason | Edward Rochester's hidden, mad first wife, confined in the attic in Charlotte Bronte's Jane Eyre.
Dr. John Watson | Sherlock Holmes's loyal companion and the narrator of most of Arthur Conan Doyle's stories.
dramatic monologue | Poetic form perfected by Robert Browning, in which a single speaker reveals character unwittingly.
Edward Lear | Victorian nonsense poet and illustrator; limericks and "The Owl and the Pussy-Cat."
Elizabeth Cleghorn Gaskell | Full name of Victorian novelist Elizabeth Gaskell.
Joseph Rudyard Kipling | Full name of empire writer Rudyard Kipling.
Miss Havisham | Jilted, embittered recluse in Dickens's Great Expectations who raises Estella to break men's hearts.
Oliver Twist | Dickens's novel of an orphan drawn into a London den of thieves led by Fagin.
Pre-Raphaelite Brotherhood | Victorian artistic and poetic movement including Dante Gabriel and Christina Rossetti, favoring medieval-inspired detail.
Rawdon Crawley | Becky Sharp's dashing but foolish husband in Thackeray's Vanity Fair.
Samuel Butler | Victorian novelist; Erewhon, a satirical utopia, and the posthumous The Way of All Flesh.
Sheridan Le Fanu | Irish Gothic writer; Carmilla, an early and influential lesbian vampire novella predating Dracula.
Sir Arthur Conan Doyle | Full name of Sherlock Holmes creator Arthur Conan Doyle.
spontaneous combustion | Bizarre fate of the drunken rag-and-bottle dealer Krook in Dickens's Bleak House.
Sprung Rhythm | Rhythmic technique invented by Gerard Manley Hopkins, counting stresses rather than syllables per line.
The Key to All Mythologies | Unfinished, ultimately futile scholarly project of the pedantic Reverend Casaubon in Eliot's Middlemarch.
The Mill on the Floss | George Eliot's novel of Maggie Tulliver's conflict between desire and duty in provincial England.
The Pickwick Papers | Dickens's episodic debut novel following the genial Mr. Pickwick and his club on their travels.
The Tenant of Wildfell Hall | Anne Bronte's novel of a woman who flees an abusive, dissolute husband to protect her son.
Through the Looking-Glass, and What Alice Found There | Full title of Lewis Carroll's sequel to Alice's Adventures in Wonderland.
Thrushcross Grange | Genteel Linton family estate contrasted with Wuthering Heights in Emily Bronte's novel.
Trollope | Surname of Victorian novelist Anthony Trollope, author of the Barsetshire and Palliser novels.
Wessex | Fictional region of southwest England invented by Thomas Hardy as the setting for his novels.
William Ernest Henley | Victorian poet; "Invictus," written from a hospital bed, declaring "I am the master of my fate."
"Felix Randal" | Gerard Manley Hopkins's sonnet elegizing a dying blacksmith parishioner.
"Gunga Din" | Kipling's poem honoring a heroic Indian water-carrier who serves British soldiers despite their scorn.
"Hap" | Thomas Hardy's poem on the indifferent, blind chance ("Crass Casualty") governing human suffering.
"Invictus" | W. E. Henley's poem declaring "I am the master of my fate: I am the captain of my soul."
"Locksley Hall" | Tennyson's dramatic monologue of a jilted speaker's bitter reflections on love, progress, and the future.
"My Last Duchess" | Robert Browning's dramatic monologue in which a duke reveals, unwittingly, that he had his wife killed.
"Porphyria's Lover" | Robert Browning's dramatic monologue in which a man strangles his lover with her own hair to preserve the moment.
"Rabbi Ben Ezra" | Robert Browning's dramatic monologue affirming old age, opening "Grow old along with me!"
"Terence, This is Stupid Stuff" | A. E. Housman poem defending melancholy verse's value, comparing poetry to Mithridates's gradual self-poisoning.
"The Ballad of Reading Gaol" | Oscar Wilde's poem written after his imprisonment, mourning a fellow inmate hanged for murder.
"The Charge of the Light Brigade" | Tennyson's poem honoring the doomed cavalry charge into the "valley of Death" at Balaclava.
"The Man Who Would Be King" | Kipling's story of two adventurers who set themselves up as kings in a remote part of Afghanistan-Kafiristan.
A Woman of No Importance | Oscar Wilde's comedy of manners involving a scandalous secret from an aristocrat's past.
Agnes Grey | Anne Bronte's novel drawing on her own experience as a beleaguered governess.
Arabella | Coarse, manipulative second wife who traps Jude in Thomas Hardy's Jude the Obscure.
Arnold | Surname of Victorian poet-critic Matthew Arnold.
Arthur Hugh Clough | Victorian poet and close friend of Matthew Arnold, mourned in Arnold's elegy "Thyrsis."
Atalanta in Calydon | Algernon Charles Swinburne's classically styled verse drama on the Greek huntress Atalanta.
Barchester Towers | Anthony Trollope's novel of ecclesiastical rivalry and comedy in the fictional cathedral town of Barchester.
Bram Stoker | Irish author of Dracula, the epistolary Gothic novel that defined the modern vampire.
Carmilla | Sheridan Le Fanu's novella of a female vampire preying on a young woman, predating Dracula.
Catherine Earnshaw | Wild, passionate heroine of Wuthering Heights, torn between Heathcliff and the genteel Edgar Linton.
Charles John Huffam Dickens | Full name of Victorian novelist Charles Dickens.
Daniel Deronda | George Eliot's final novel, following the title character's discovery of his Jewish heritage alongside Gwendolen Harleth's moral awakening.
Dorian Gray | Eternally youthful subject of Oscar Wilde's novel, whose portrait bears the marks of his moral corruption.
Ebenezer Scrooge | Miserly protagonist of Dickens's A Christmas Carol, reformed after visits from three spirits.
Edward Fairfax Rochester | Full name of Jane Eyre's Byronic love interest, master of Thornfield Hall.
Egdon Heath | Bleak, atmospheric moorland setting of Thomas Hardy's The Return of the Native.
Esther Summerson | One of the narrators of Dickens's Bleak House, an orphan of uncertain parentage.
Fagin | Dickens's manipulative fence who trains orphaned boys, including Oliver Twist, as pickpockets.
free indirect discourse | Narrative technique blending a character's voice with third-person narration, refined by Austen and Eliot.
Gabriel Oak | Steadfast shepherd and one of Bathsheba Everdene's suitors in Hardy's Far From the Madding Crowd.
goblins | Temptingly fruit-selling creatures in Christina Rossetti's "Goblin Market."
Gwendolen Harleth | Beautiful, self-absorbed heroine of George Eliot's Daniel Deronda, trapped in a cruel marriage.
In Memoriam A.H.H. | Tennyson's long elegy mourning his friend Arthur Hallam, wrestling with grief, doubt, and faith.
Jerome K. Jerome | Victorian humorist; Three Men in a Boat, a comic account of a Thames boating holiday.
John Henry Newman | Victorian theologian and writer; Apologia Pro Vita Sua, defending his conversion to Catholicism.
King Solomon's Mines | H. Rider Haggard's Victorian adventure novel of explorers seeking a legendary African diamond mine.
limericks | Comic five-line verse form popularized by Edward Lear's nonsense poetry.
Mary Barton | Elizabeth Gaskell's "Condition of England" novel of poverty and labor unrest in industrial Manchester.
Mr. Lockwood | Outsider tenant whose curiosity frames the narration of Emily Bronte's Wuthering Heights.
Mr. Rochester | Byronic master of Thornfield Hall who employs and eventually marries Jane Eyre.
New Grub Street | George Gissing's novel depicting the poverty and compromise of late-Victorian literary hack work.
penny dreadfuls | Cheap, sensational serialized fiction popular among Victorian working-class readers.
Pip | Orphaned narrator of Dickens's Great Expectations, elevated by a mysterious benefactor.
realism | Literary mode of depicting ordinary life faithfully, central to the Victorian novel.
sensation novels | Victorian genre of thrilling, scandalous plots pioneered by Wilkie Collins and Mary Elizabeth Braddon.
Sydney Carton | Dissolute lawyer who sacrifices himself for another man's life in Dickens's A Tale of Two Cities.
Tess Durbeyfield | Wronged heroine of Hardy's Tess of the d'Urbervilles, destroyed by Victorian sexual double standards.
Tess of the d'Urbervilles | Thomas Hardy's novel of a wronged milkmaid destroyed by Victorian sexual morality.
The Egoist | George Meredith's novel satirizing a vain, self-absorbed gentleman's courtships.
The Jungle Book | Rudyard Kipling's collection of stories following Mowgli, a boy raised by wolves in the Indian jungle.
The Mystery of Edwin Drood | Dickens's final, unfinished novel, leaving the fate of its title character permanently unresolved.
The Warden | Anthony Trollope's novel opening the Barsetshire series, on a clergyman's crisis of conscience over church income.
The Way We Live Now | Anthony Trollope's satirical novel of financial fraud and social corruption centered on swindler Augustus Melmotte.
Three Men in a Boat | Jerome K. Jerome's comic account of a Thames boating holiday among three bumbling friends.
Uncle Pumblechook | Pip's pompous, self-serving uncle by marriage in Dickens's Great Expectations.
Uriah Heep | Obsequiously "'umble" clerk in Dickens's David Copperfield, revealed as a scheming fraudster.
Walter Pater | Victorian aesthete-critic; The Renaissance, whose call to "burn always with this hard, gemlike flame" influenced Wilde.
William Morris | Victorian designer, poet, and socialist; News from Nowhere, a utopian vision tied to the Pre-Raphaelite circle.
William Wilkie Collins | Full name of Victorian sensation novelist Wilkie Collins.

# Modernism & the World Wars
> Experimental fiction and poetry answering fragmentation, war, and new psychology in the early twentieth century.
Virginia Woolf | Modernist novelist and Bloomsbury Group member; stream-of-consciousness Mrs. Dalloway and To the Lighthouse; A Room of One's Own.
William Butler Yeats | Irish poet of the Literary Revival; "The Second Coming," "Sailing to Byzantium"; Nobel laureate and Irish senator.
Saki | Pen name of H. H. Munro, Edwardian short-story writer of dark wit; "The Open Window," "Sredni Vashtar."
Joseph Conrad | Polish-born modernist novelist of the sea and empire; Heart of Darkness, Lord Jim, Nostromo.
James Joyce | Irish modernist master of stream of consciousness; Ulysses, Dubliners, A Portrait of the Artist as a Young Man, Finnegans Wake.
E. M. Forster = E.M. Forster | Edwardian-modernist novelist of class and empire; Howards End, A Room with a View, A Passage to India, Maurice.
D. H. Lawrence = D.H. Lawrence | Modernist novelist of instinct and sexuality; Sons and Lovers, Lady Chatterley's Lover, The Rainbow.
